"BehaviorSpace results (NetLogo 7.0.1)","Table version 2.0"
"polarizacion_extension_redes.nlogox"
"psi_latice_cuadrada"
"04/06/2026 18:29:29:434 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","14","0","14"
"[run number]","c","tipo_red","h","k","m","n","gamma","[step]","Psi"
"42","4","látice cuadrada","8","2","10","10","0.8","20000","0.37701560759983926"
"45","4","látice cuadrada","8","2","10","10","0.8","15000","0.2528527107529103"
"43","4","látice cuadrada","8","2","10","10","0.8","20000","0.4093481261979136"
"47","4","látice cuadrada","8","2","10","10","0.8","5000","0.0542847486576845"
"48","4","látice cuadrada","8","2","10","10","0.8","0","0.0012979943622531964"
"49","4","látice cuadrada","8","2","10","10","0.8","0","3.72992706688946E-4"
"46","4","látice cuadrada","8","2","10","10","0.8","15000","0.19196039519945085"
"44","4","látice cuadrada","8","2","10","10","0.8","20000","0.29632407459945564"
"50","4","látice cuadrada","8","2","10","10","0.8","0","-3.319379557008145E-4"
"45","4","látice cuadrada","8","2","10","10","0.8","20000","0.4809014931764518"
"47","4","látice cuadrada","8","2","10","10","0.8","10000","0.13023029817937937"
"51","4","látice cuadrada","8","2","10","10","1","0","8.539612632343374E-4"
"48","4","látice cuadrada","8","2","10","10","0.8","5000","0.04925648294219426"
"49","4","látice cuadrada","8","2","10","10","0.8","5000","0.0621662304977364"
"46","4","látice cuadrada","8","2","10","10","0.8","20000","0.3603018306706525"
"52","4","látice cuadrada","8","2","10","10","1","0","2.575103987176447E-4"
"50","4","látice cuadrada","8","2","10","10","0.8","5000","0.055628975595961874"
"51","4","látice cuadrada","8","2","10","10","1","5000","0.045700521937018734"
"47","4","látice cuadrada","8","2","10","10","0.8","15000","0.2210059849932854"
"49","4","látice cuadrada","8","2","10","10","0.8","10000","0.12515917553644829"
"48","4","látice cuadrada","8","2","10","10","0.8","10000","0.14587651156406944"
"50","4","látice cuadrada","8","2","10","10","0.8","10000","0.1298420318222514"
"52","4","látice cuadrada","8","2","10","10","1","5000","0.05295403384959338"
"51","4","látice cuadrada","8","2","10","10","1","10000","0.13399644075097925"
"47","4","látice cuadrada","8","2","10","10","0.8","20000","0.37124199948321845"
"49","4","látice cuadrada","8","2","10","10","0.8","15000","0.24898759662376824"
"48","4","látice cuadrada","8","2","10","10","0.8","15000","0.17736279283133222"
"50","4","látice cuadrada","8","2","10","10","0.8","15000","0.2529629153391635"
"53","4","látice cuadrada","8","2","10","10","1","0","3.0807993323161975E-4"
"52","4","látice cuadrada","8","2","10","10","1","10000","0.12654199544257178"
"51","4","látice cuadrada","8","2","10","10","1","15000","0.24825742831106168"
"49","4","látice cuadrada","8","2","10","10","0.8","20000","0.43991408713582225"
"50","4","látice cuadrada","8","2","10","10","0.8","20000","0.44934564885067935"
"54","4","látice cuadrada","8","2","10","10","1","0","6.190476190469779E-4"
"48","4","látice cuadrada","8","2","10","10","0.8","20000","0.26857607815471995"
"53","4","látice cuadrada","8","2","10","10","1","5000","0.03544172716249129"
"55","4","látice cuadrada","8","2","10","10","1","0","1.0000183677749686E-5"
"56","4","látice cuadrada","8","2","10","10","1","0","-3.0853543307189646E-4"
"52","4","látice cuadrada","8","2","10","10","1","15000","0.24075024960777294"
"51","4","látice cuadrada","8","2","10","10","1","20000","0.48785910806976274"
"57","4","látice cuadrada","8","2","10","10","1","0","0.00313748701914264"
"54","4","látice cuadrada","8","2","10","10","1","5000","0.061658730158718505"
"55","4","látice cuadrada","8","2","10","10","1","5000","0.0709151347224184"
"53","4","látice cuadrada","8","2","10","10","1","10000","0.12159397193836279"
"52","4","látice cuadrada","8","2","10","10","1","20000","0.36346720880819305"
"56","4","látice cuadrada","8","2","10","10","1","5000","0.0486360944881834"
"58","4","látice cuadrada","8","2","10","10","1","0","0.0013246388425724176"
"57","4","látice cuadrada","8","2","10","10","1","5000","0.06249407395700572"
