"BehaviorSpace results (NetLogo 7.0.1)","Table version 2.0"
"polarizacion_extension_redes.nlogox"
"psi_libre_de_escala"
"04/06/2026 18:39:56:169 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","14","0","14"
"[run number]","c","tipo_red","h","k","m","n","gamma","[step]","Psi"
"59","4","libre de escala","8","2","6","6","1","0","-0.0015496203705983591"
"54","4","libre de escala","8","2","6","6","1","5000","0.10044998855622178"
"55","4","libre de escala","8","2","6","6","1","5000","0.08690523807274944"
"57","4","libre de escala","8","2","6","6","1","5000","0.09648499212799222"
"56","4","libre de escala","8","2","6","6","1","5000","0.04870382262082579"
"54","4","libre de escala","8","2","6","6","1","10000","0.4039714761087939"
"58","4","libre de escala","8","2","6","6","1","5000","0.09450107862967505"
"59","4","libre de escala","8","2","6","6","1","5000","0.08657817773588752"
"57","4","libre de escala","8","2","6","6","1","10000","0.2249774315582749"
"56","4","libre de escala","8","2","6","6","1","10000","0.12443774915887867"
"55","4","libre de escala","8","2","6","6","1","10000","0.2461451165036856"
"59","4","libre de escala","8","2","6","6","1","10000","0.20631109105340226"
"58","4","libre de escala","8","2","6","6","1","10000","0.439476516134545"
"54","4","libre de escala","8","2","6","6","1","15000","0.5427005753334941"
"56","4","libre de escala","8","2","6","6","1","15000","0.10381054850220894"
"57","4","libre de escala","8","2","6","6","1","15000","0.471119140737053"
"59","4","libre de escala","8","2","6","6","1","15000","0.51563575209594"
"58","4","libre de escala","8","2","6","6","1","15000","0.23344055297689092"
"55","4","libre de escala","8","2","6","6","1","15000","0.6640983365614554"
"54","4","libre de escala","8","2","6","6","1","20000","0.5380981946034994"
"60","4","libre de escala","8","2","6","6","1","0","-0.0011689938076763773"
"56","4","libre de escala","8","2","6","6","1","20000","0.11989617976605571"
"57","4","libre de escala","8","2","6","6","1","20000","0.5759591994017633"
"59","4","libre de escala","8","2","6","6","1","20000","0.7781462115064145"
"58","4","libre de escala","8","2","6","6","1","20000","0.23097165324960034"
"55","4","libre de escala","8","2","6","6","1","20000","0.7418851602810973"
"60","4","libre de escala","8","2","6","6","1","5000","0.05608581452514094"
"60","4","libre de escala","8","2","6","6","1","10000","0.2729126616000883"
"60","4","libre de escala","8","2","6","6","1","15000","0.45953465385125447"
"60","4","libre de escala","8","2","6","6","1","20000","0.45926334380208667"
