"BehaviorSpace results (NetLogo 7.0.1)","Table version 2.0"
"polarizacion_extension_redes.nlogox"
"psi_red_aleatoria"
"04/06/2026 18:35:37:002 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","14","0","14"
"[run number]","c","tipo_red","h","k","m","n","gamma","[step]","Psi"
"54","4","aleatoria","8","2","6","6","1","0","0.0015827473135277825"
"53","4","aleatoria","8","2","6","6","1","15000","0.8039703223573846"
"50","4","aleatoria","8","2","6","6","0.8","20000","0.9744955245077788"
"49","4","aleatoria","8","2","6","6","0.8","20000","0.7874329586363745"
"55","4","aleatoria","8","2","6","6","1","0","-0.0013053420577722186"
"56","4","aleatoria","8","2","6","6","1","0","-0.002953615074348992"
"51","4","aleatoria","8","2","6","6","1","20000","0.7868260732226594"
"52","4","aleatoria","8","2","6","6","1","20000","0.6376237745000877"
"57","4","aleatoria","8","2","6","6","1","0","-1.4550264550433623E-4"
"58","4","aleatoria","8","2","6","6","1","0","0.0010670534085968075"
"54","4","aleatoria","8","2","6","6","1","5000","0.12710868362833508"
"53","4","aleatoria","8","2","6","6","1","20000","0.7869627159440573"
"59","4","aleatoria","8","2","6","6","1","0","-0.003289760087303112"
"56","4","aleatoria","8","2","6","6","1","5000","0.0460975595990647"
"55","4","aleatoria","8","2","6","6","1","5000","0.15899059667536705"
"54","4","aleatoria","8","2","6","6","1","10000","0.6397358583920382"
"58","4","aleatoria","8","2","6","6","1","5000","0.13428027609777915"
"57","4","aleatoria","8","2","6","6","1","5000","0.14242063492065432"
"59","4","aleatoria","8","2","6","6","1","5000","0.18818577024699595"
"56","4","aleatoria","8","2","6","6","1","10000","0.07929845057492119"
"55","4","aleatoria","8","2","6","6","1","10000","0.3789027802877535"
"54","4","aleatoria","8","2","6","6","1","15000","0.8156612617392104"
"58","4","aleatoria","8","2","6","6","1","10000","0.37324331443099423"
"57","4","aleatoria","8","2","6","6","1","10000","0.47109788359788096"
"56","4","aleatoria","8","2","6","6","1","15000","0.3964543920444118"
"59","4","aleatoria","8","2","6","6","1","10000","0.6991521271131443"
"55","4","aleatoria","8","2","6","6","1","15000","0.7925873948846465"
"54","4","aleatoria","8","2","6","6","1","20000","0.8097089983670613"
"60","4","aleatoria","8","2","6","6","1","0","0.002819060563196668"
"58","4","aleatoria","8","2","6","6","1","15000","0.4580191445686846"
"57","4","aleatoria","8","2","6","6","1","15000","0.7961375661375532"
"56","4","aleatoria","8","2","6","6","1","20000","0.4970370960884286"
"59","4","aleatoria","8","2","6","6","1","15000","0.9540720185485855"
"55","4","aleatoria","8","2","6","6","1","20000","0.789541446200542"
"60","4","aleatoria","8","2","6","6","1","5025","0.14442858596025276"
"58","4","aleatoria","8","2","6","6","1","20000","0.47368006872814616"
"57","4","aleatoria","8","2","6","6","1","20000","0.7982010582010368"
"59","4","aleatoria","8","2","6","6","1","20000","0.9735449408843699"
"60","4","aleatoria","8","2","6","6","1","10048","0.4055523798274261"
"60","4","aleatoria","8","2","6","6","1","15075","0.4421538161882156"
"60","4","aleatoria","8","2","6","6","1","20000","0.42898991657064367"
